Protocol , Source IP , Source Port , Destination IP , Destination Port , Payload
TCP , 216.58.196.100 , 443 , 192.168.1.8 , 58653 , b'\x17\x03\x03\x02Q\xef\xd0\xfb \x87\xbdKimo\xb6\xbb\xf7\xb8\xc5\xcb\xc2o\x8c\x82\xf8U\x9e>\xcb'
TCP , 216.58.196.100 , 443 , 192.168.1.8 , 58653 , b'\xed]\xec\xaa\xfa\xa5YPer\xb7\x19\x182\xeb\xe2j\x87tW:\xb1\x01\x94KjFT!\xd7'
TCP , 192.168.1.8 , 58653 , 216.58.196.100 , 443 , N/A
TCP , 192.168.1.8 , 58652 , 198.20.189.65 , 31723 , b'\x00\x00\x05\xf0\xfb\x8a\xfb\xddf\x1dHn\x1c\xf2\xd3\x1d\xc0u\xf3\x86$\x19-\xa1\x19\nf{0\x14'
TCP , 192.168.1.8 , 58652 , 198.20.189.65 , 31723 , b'k\xb6K\xfe\xca\xe6\x1dL\x97\xf06\x8d\x84E\xd1d\xcd\xbea\xe6\xe9\x00x\xdf\xaa\x07\xc8\xbc\x00n'
TCP , 198.20.189.65 , 31723 , 192.168.1.8 , 58652 , N/A
TCP , 216.58.196.100 , 443 , 192.168.1.8 , 58653 , b'\x17\x03\x03\x05\x7f\x1e\xaa!$\xf1H\xaa\x98\xe3\xfbd\x8e\xea\x1e\x16\x9a\x9e\x88\xfb\x0f=\x99\xd6D9'
TCP , 216.58.196.100 , 443 , 192.168.1.8 , 58653 , b'\x17\x03\x03\x05\x7f\xfb\xdb\x04\xa0\xdc\xad\xf0\xab\xcbY\xf80F\x9b\x93\xd3\xae\xd4\n\xdaa\x1c\x19?\xaa'
TCP , 192.168.1.8 , 58653, 216.58.196.100 ,443 , N/A
TCP , 216.58.196.100, 443 , 192.168.1.8 , 58653 , "b""\x17\x03\x03\x05\x7fz4\xe8\xda8\x99.\xe3\xe3\x04\x10 *\rp\x986\x16/01\xcdH'\xae"""

